Gender,Annual.Salary,Department,Department.Name,Assignment,Position.Title,Date.Hired
F,72378.9858,POL,Department of Police,Fulltime,Office Services Coordinator,09/22/1986
F,111462.59,HHS,Department of Health and Human Services,Fulltime,Supervisory Social Worker,11/19/1989
M,57069.2448,COR,Correction and Rehabilitation,Fulltime,Resident Supervisor II,05/05/2014
M,94782.6,HCA,Department of Housing and Community Affairs,Fulltime,Planning Specialist III,03/05/2007
M,75479.32,POL,Department of Police,Fulltime,Police Officer III,07/16/2007
M,16286.985,POL,Department of Police,Parttime,Police Cadet,09/05/2017
F,62697.46,FIN,Department of Finance,Fulltime,Accountant/Auditor III,06/27/2016
F,52741.26,POL,Department of Police,Fulltime,Police Officer III,01/09/2017
M,68739.36,HHS,Department of Health and Human Services,Fulltime,Administrative Specialist II,11/17/2014
M,50172,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/12/2016
F,50071.1607,POL,Department of Police,Fulltime,Police Aide,02/05/2007
M,69722.32,DGS,Department of General Services,Fulltime,Electrician I,01/13/2014
M,62871.187,DOT,Department of Transportation,Fulltime,Bus Operator,04/28/2002
F,23397.27,HHS,Department of Health and Human Services,Parttime,Community Services Aide III,05/01/2017
F,156167.2,HHS,Department of Health and Human Services,Parttime,Medical Doctor III - Physician,12/01/2003
M,48975.399,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
M,42677.8704,DOT,Department of Transportation,Fulltime,Traffic Management Technician II,12/14/2015
F,50786.667,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,02/22/2016
F,99366.3,HHS,Department of Health and Human Services,Fulltime,Social Worker III,06/26/2006
M,122585.72,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,03/07/2005
F,64352.2,LIB,Department of Public Libraries,Fulltime,Library Assistant II,01/26/2000
F,15216.03,LIB,Department of Public Libraries,Parttime,Library Aide,02/13/2013
M,19832.7888,LIB,Department of Public Libraries,Parttime,Library Assistant I,11/22/2010
F,45064.3921,DOT,Department of Transportation,Fulltime,Bus Operator,06/30/2014
F,22631.5908,POL,Department of Police,Parttime,Crossing Guard,03/08/2004
F,18322.04,HHS,Department of Health and Human Services,Parttime,Office Clerk,05/04/2010
F,62152.1175,REC,Department of Recreation,Fulltime,Recreation Specialist,12/27/2016
M,72866.3995,DGS,Department of General Services,Fulltime,Mechanic Technician II,04/16/2007
M,47089.32,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
M,53806.74,POL,Department of Police,Fulltime,Police Officer III,01/09/2017
M,157244.92,FIN,Department of Finance,Fulltime,Manager II,12/12/2005
M,30090.9996,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,03/28/2016
M,66408.51,DOT,Department of Transportation,Fulltime,Bus Operator,03/05/2000
M,51471,POL,Department of Police,Fulltime,Police Officer Candidate,07/24/2017
M,57517.3716,POL,Department of Police,Fulltime,Information Technology Technician III,10/20/2014
F,105524.2224,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,12/26/2006
M,41328.71,DLC,Department of Liquor Control,Fulltime,Supply Technician III,10/10/2007
F,103401.174,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Supervisor,01/16/1990
M,30221.2845,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,06/15/2015
M,50956.29,POL,Department of Police,Fulltime,Police Officer Candidate,07/24/2017
F,41590.3572,DGS,Department of General Services,Fulltime,Imaging Operator II,09/06/2016
M,90950.31,POL,Department of Police,Fulltime,Police Officer III,07/21/2003
M,47795.49,DOT,Department of Transportation,Fulltime,Bus Operator,07/16/2012
M,175068.63,CEC,Community Engagement Cluster,Fulltime,Director Office of Community Partnerships,03/19/2007
M,76409.53,DTS,Department of Technology Services,Fulltime,Telecommunications Technician,10/07/2013
M,85918.26,DLC,Department of Liquor Control,Fulltime,Alcohol/Tobacco Enforcement Specialist II,11/10/2008
